Category,Question,Answer
Greythr, What is GreytHR?,"GreytHR is an employee’s Self-Service Portal where the employees can view their salary slips, update income tax declaration, submit income tax proof, view form 16, get salary-to-date summary and TDS details."
Greythr,What do you mean by Greythr?,"GreytHR is an employee’s Self-Service Portal where the employees can view their salary slips, update income tax declaration, submit income tax proof, view form 16, get salary-to-date summary and TDS details."
Greythr,What can I use greytHR for?,"GreytHR is an employee’s Self-Service Portal where the employees can view their salary slips, update income tax declaration, submit income tax proof, view form 16, get salary-to-date summary and TDS details."
Greythr,Where can I view my historical payslips?,"GreytHR is an employee’s Self-Service Portal where the employees can view their salary slips, update income tax declaration, submit income tax proof, view form 16, get salary-to-date summary and TDS details."
Greythr,Do I need to use Greythr?,"GreytHR is an employee’s Self-Service Portal where the employees can view their salary slips, update income tax declaration, submit income tax proof, view form 16, get salary-to-date summary and TDS details."
Greythr, How can I get set up on GreytHR?,"New Employees will be receiving an email with a link to create login credentials after 5th of the next month of joining. 
Example if an employee joined on January 1st the link will be sent after 5th February. 
The access will be provided upon processing of the1st month’s salary and post generation of payslip for the said employee."
Greythr,Where can i access GreytHR?,"New Employees will be receiving an email with a link to create login credentials after 5th of the next month of joining. 
Example if an employee joined on January 1st the link will be sent after 5th February. 
The access will be provided upon processing of the1st month’s salary and post generation of payslip for the said employee."
Greythr,When will i get Greythr access?,"New Employees will be receiving an email with a link to create login credentials after 5th of the next month of joining. 
Example if an employee joined on January 1st the link will be sent after 5th February. 
The access will be provided upon processing of the1st month’s salary and post generation of payslip for the said employee."
Greythr,"As a new joinee, when will i get access to Greythr access?","New Employees will be receiving an email with a link to create login credentials after 5th of the next month of joining. 
Example if an employee joined on January 1st the link will be sent after 5th February. 
The access will be provided upon processing of the1st month’s salary and post generation of payslip for the said employee."
Greythr,When do I use GreytHR?,"New Employees will be receiving an email with a link to create login credentials after 5th of the next month of joining. 
Example if an employee joined on January 1st the link will be sent after 5th February. 
The access will be provided upon processing of the1st month’s salary and post generation of payslip for the said employee."
Greythr," I have lost my password, how do I log-in again?","Employees can click on “FORGOT PASSWORD” on the login page of GreytHR. 
An email link will be sent to your official email account to reset the password. "
Greythr,"My password is incorrect, what to do?","Employees can click on “FORGOT PASSWORD” on the login page of GreytHR. 
An email link will be sent to your official email account to reset the password. "
Greythr,Password shared to me is wrong. What to do?,"Employees can click on “FORGOT PASSWORD” on the login page of GreytHR. 
An email link will be sent to your official email account to reset the password. "
Greythr,I forgot my Greythr password. What to do?,"Employees can click on “FORGOT PASSWORD” on the login page of GreytHR. 
An email link will be sent to your official email account to reset the password. "
Greythr,I can't access my GreytHR account,"Employees can click on “FORGOT PASSWORD” on the login page of GreytHR. 
An email link will be sent to your official email account to reset the password. "
Greythr,Password reset for GreytHR is not working,"If the employees are facing such issues, then they can send an email to accounts@valenta.io we will re-generate the login credentials. "
Greythr,Password reset is not working. What to do?,"If the employees are facing such issues, then they can send an email to accounts@valenta.io we will re-generate the login credentials. "
Greythr,"I can't reset my password in Greythr, how can I login?","If the employees are facing such issues, then they can send an email to accounts@valenta.io we will re-generate the login credentials. "
Greythr,I am unable to reset my greythr password,"If the employees are facing such issues, then they can send an email to accounts@valenta.io we will re-generate the login credentials. "
Greythr,Can HR reset my GreytHR password for me?,"If the employees are facing such issues, then they can send an email to accounts@valenta.io we will re-generate the login credentials. "
Greythr,Where can I find my employee ID for GreytHR?,The HR team will share the employee ID with Zoho Credentials via email on the date of joining
Greythr,Is my Emp ID visible in GreytHR?,The HR team will share the employee ID with Zoho Credentials via email on the date of joining
Greythr,Where can I find my Emp ID for GreytHR?,The HR team will share the employee ID with Zoho Credentials via email on the date of joining
Greythr,When will I get my Employee ID for GreytHR?,The HR team will share the employee ID with Zoho Credentials via email on the date of joining
Greythr,What is my GreytHR id?,The HR team will share the employee ID with Zoho Credentials via email on the date of joining
Greythr,When are payslips made available each month?,"Payslips will be available after 20th of next month. Example Salary is processed for the month January, the Jan month payslips will be available after 20th February. An email intimation will be sent to employees once the payslips are published. "
Greythr,How to access payslips?,"Payslips will be available after 20th of next month. Example Salary is processed for the month January, the Jan month payslips will be available after 20th February. An email intimation will be sent to employees once the payslips are published. "
Greythr,When will i get my payslip?,"Payslips will be available after 20th of next month. Example Salary is processed for the month January, the Jan month payslips will be available after 20th February. An email intimation will be sent to employees once the payslips are published. "
Greythr,When will i get my salary slip?,"Payslips will be available after 20th of next month. Example Salary is processed for the month January, the Jan month payslips will be available after 20th February. An email intimation will be sent to employees once the payslips are published. "
Greythr,I haven't received my payslip yet,"Payslips will be available after 20th of next month. Example Salary is processed for the month January, the Jan month payslips will be available after 20th February. An email intimation will be sent to employees once the payslips are published. "
Greythr,How can I download my historical payslips?,Historical payslips can be downloaded in GreytHR employee login. Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “PAYSLIPS”- then select the month on top right corner. And click on the download symbol on the top right corner. 
Greythr,How can i find my previous month payslips?,Historical payslips can be downloaded in GreytHR employee login. Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “PAYSLIPS”- then select the month on top right corner. And click on the download symbol on the top right corner. 
Greythr,Can i download my payslips?,Historical payslips can be downloaded in GreytHR employee login. Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “PAYSLIPS”- then select the month on top right corner. And click on the download symbol on the top right corner. 
Greythr,Can i download my salary slips?,Historical payslips can be downloaded in GreytHR employee login. Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “PAYSLIPS”- then select the month on top right corner. And click on the download symbol on the top right corner. 
Greythr,Where can i access my payslip?,Historical payslips can be downloaded in GreytHR employee login. Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “PAYSLIPS”- then select the month on top right corner. And click on the download symbol on the top right corner. 
Greythr,"As a trainee, will I receive a payslip via GreytHR as well?",Trainees do-not receive any GreytHR logins & payslips. 
Greythr,"As a trainee, will i get access to GreytHR?",Trainees do-not receive any GreytHR logins & payslips. 
Greythr,Will trainees get payslips?,Trainees do-not receive any GreytHR logins & payslips. 
Greythr,,Trainees do-not receive any GreytHR logins & payslips. 
Greythr,,Trainees do-not receive any GreytHR logins & payslips. 
Greythr,Does a payslip get generated while on long leave due to medical / any other reasons?,"The payslips will be generated even during long leave. If there are no earnings for the period, then the payslip shall show zero. "
Greythr,"I was on long leave, will the payslip generate in GreytHR?","The payslips will be generated even during long leave. If there are no earnings for the period, then the payslip shall show zero. "
Greythr,"I was absent for the whole month, will the payslip be generated?","The payslips will be generated even during long leave. If there are no earnings for the period, then the payslip shall show zero. "
Greythr,,"The payslips will be generated even during long leave. If there are no earnings for the period, then the payslip shall show zero. "
Greythr,"I am on my Maternity leave, will payslips be generated during the term of my leave?","The payslips will be generated even during long leave. If there are no earnings for the period, then the payslip shall show zero. "
Greythr,How can I submit my IT declaration?,"IT declaration can be submitted from April to December. The declaration window will be opened on the 21st of each month & closed on the 30/31st of the same month. 
The employees have 10 days’ time for updating the IT declaration. 

Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “IT DECLARATIONS”. If the declaration window is enabled its shows “OPEN”, then the employee needs to click on “START NOW”, enter all the declarations & submit. If the window is closed it shows “LOCKED”. 

If the declaration window is enabled an email intimation will be sent to the employee. "
